id,lat,lon
30215720,-1.2779251,36.8139558
30215721,-1.277563,36.8137492
30295177,-1.2904465,36.8159915
30406070,-1.2830977,36.8117061
30406072,-1.2843963,36.8119474
30406073,-1.2857324,36.8132289
30406074,-1.2847543,36.8123115
30406075,-1.2835502,36.8117067
30406076,-1.2840155,36.811753
30498512,-1.2904959,36.8252381
30498514,-1.2919018,36.8260407
30498515,-1.2927412,36.8236828
30498519,-1.2925761,36.8263844
30498521,-1.2914596,36.8284899
30498522,-1.2938048,36.8269757
30498526,-1.2909678,36.8246785
30498527,-1.2903931,36.8244392
30498528,-1.2871724,36.8315977
30498529,-1.2868278,36.8315189
30498530,-1.29186,36.8218301
30498533,-1.2921631,36.8219359
30498603,-1.2893847,36.8274177
30498619,-1.2892321,36.8277212
30498667,-1.2902652,36.8362161
30498705,-1.2893112,36.8273399
30498711,-1.2890852,36.8276869
30498713,-1.2880436,36.8328053
30498729,-1.2872528,36.8312996
30498730,-1.2878009,36.8303391
30498731,-1.2878711,36.8301754
30498732,-1.2876586,36.8301221
30695698,-1.2783943,36.8084043
30695792,-1.2925895,36.8205528
30695793,-1.2929152,36.8204727
30695794,-1.292833,36.8202105
30695795,-1.2925725,36.820241
30695796,-1.2950652,36.8218785
30695799,-1.2951174,36.8217732
30986596,-1.2813949,36.8229592
30986597,-1.2813494,36.8234716
30986598,-1.2813949,36.8256855
30986599,-1.2820466,36.826646
30986601,-1.2855279,36.8319929
30986655,-1.2855587,36.8321448
30986656,-1.2856628,36.8321116
30986657,-1.2857546,36.8321289
30986658,-1.2858546,36.8322223
30986659,-1.285842,36.8324354
30986660,-1.2856597,36.832525
30986661,-1.2854699,36.8323655
30986662,-1.285482,36.832235
30986852,-1.2787992,36.8340247
30986853,-1.2797646,36.8331631
30986854,-1.2804135,36.8326588
30986855,-1.2806944,36.8324717
30986856,-1.2809297,36.8324288
30986859,-1.282544,36.8317227
30986860,-1.2847093,36.8310427
30986861,-1.2864778,36.8305258
30986868,-1.2862465,36.8292946
30986869,-1.2865916,36.8302823
30986871,-1.2865919,36.8262023
30986872,-1.2847034,36.829858
30986873,-1.2835308,36.8314129
30986875,-1.2853827,36.8286199
30986879,-1.2838097,36.8276605
30986880,-1.2833471,36.8273534
30986881,-1.2830863,36.8269792
30986882,-1.2833074,36.824654
30986883,-1.2815399,36.8258935
30986889,-1.2820224,36.8240791
30986890,-1.2820298,36.8236714
30986891,-1.2823225,36.8234006
30986948,-1.2815706,36.8225154
30986949,-1.281676,36.822695
30986950,-1.2815599,36.822861
30986951,-1.2811927,36.8227682
30986952,-1.2811033,36.8226441
30986953,-1.2810517,36.8225366
30986955,-1.2812653,36.8223058
30986956,-1.2814369,36.8223744
30987752,-1.2809761,36.8222773
30987760,-1.2772185,36.8218589
30987761,-1.2768833,36.8224195
56229927,-1.2867396,36.8226064
56230784,-1.2877241,36.826779
56232723,-1.2852988,36.8255449
56232857,-1.2862663,36.8236662
56232859,-1.2887028,36.8248637
56233481,-1.2851881,36.826354
56233482,-1.2849736,36.8262596
56233483,-1.2844699,36.8260305
56233484,-1.2818083,36.8227973
56234273,-1.2829925,36.8270385
56234276,-1.2820157,36.8255751
56234402,-1.2834921,36.8267039
56234403,-1.2824521,36.8252814
56234572,-1.2839181,36.8264313
56234575,-1.2828026,36.8250237
56235054,-1.2807889,36.8277195
56235055,-1.2815458,36.8278818
